,company,country,description,location,review,salary,star,title
3,Dyson,Malaysia,"Use common signal acquisition, data analysis and simulation techniques to measure a design’s performance. Our Research& Science teams – scientists, mechanical...",Senai,101,,43.2,Senior Mechatronics Engineer
0,Kerry,Malaysia,Support the Group-wide IT security policy to ensure appropriate measures are taken to secure the Group's records and data and minimizing IT security breaches....,Johor Bahru,127,,40.8,ICT Security Analyst
1,Dyson,Malaysia,"Excellent data mining and extrapolation skills may also be required to maintain and prepare reports, track product flow, and develop solutions to supply chain...",Senai,101,,43.2,Internship - Data Analyst
2,Aegis BPO Malaysia Sdn Bhd,Malaysia,"To maintain forecasting related reporting / data / information of Customer Experience Centre. Provide direct leadership, guidance and support to all Real Time...",Nusajaya,1594,,43.2,WFM Scheduler (Call Centre) - Johor
3,Kerry,Malaysia,"Boldly research and identify new opportunities to improve data sources. Extract and analyse data and summarize findings, including making recommendations based...",Johor Bahru,127,,40.8,Credit Risk - Lead
4,Telltie Data Technology Sdn Bhd,Malaysia,Job Responsibility Support in marketing division planning & analysis. Support in customer service relavant jobs Job Requirements Business / Marketing /...,Batu Pahat,,,,Internship for Market Analyst Assistant
5,Celestica,Malaysia,Operations Engineering Analyst. To verify BOM data and accuracy in SAP system. State/Province:....,Johor Bahru,361,,43.8,Process Engineer
6,Dyson,Malaysia,"We analyse data and customer feedback, relentlessly improving product safety, reliability, usability and customer satisfaction....",Senai,101,,43.2,Product Quality Manager
0,Dyson,Malaysia,Present the data in a clear and insightful manner in meetings with senior executives. There is an increasing demand to improve the FP&A function as quickly as...,Senai,101,,43.2,Senior Financial Analyst
1,Michael Page,Malaysia,"Perform analysis with commentaries on the relevant financial reporting statements, to provide business partners with accurate data for decision making....",Johor Bahru,157,,42.0,Finance Analyst/Accountant/Finance Manager (Johor Bahru)
2,Bright Prospect,Malaysia,Support the Group-wide IT security policy to ensure appropriate measures are taken to secure the Group's records and data and minimizing IT security breaches....,Johor Bahru,5,,40.2,IT Security Analyst
3,Seagate,Malaysia,Perform data and information analysis leading to business decisions or recommendations. Work on problems of diverse scope where analysis of data requires the...,Johor,403,,44.4,Analyst I
4,AL-IKHSAN SPORTS,Malaysia,Passionate for data mining and analysis works. Extract and analyse data and translate it for the business. Construct and manage reports based on business needs....,Johor,,,,Product Analyst
5,CareerMaster Sdn Bhd,Malaysia,ICT Security Analyst. Support the Groupwide IT security policy to ensure appropriate measures are taken to secure the Group's records and data and minimizing IT...,Johor,,,,ICT Security Analyst
6,Graduan.com.my,Malaysia,"Request the creation and maintenance of vendor master data in SAP, support Master Data Team (if applicable)....",Johor,,,,"12 months contract - Analyst, Procurement Services (Mandarin Speaking)"
7,Seagate,Malaysia,Follows standard practices and procedures in analyzing situations or data from which answers can be readily obtained....,Johor,403,,44.4,Process Engineer
8,Michael Page,Malaysia,"Lead in developing and verifying data relevant to product costing and margin analyses. Perform continuous quality checks with regard to moving average prices,...",Johor,157,,42.0,Senior Business Analyst - based in Johor
9,Michael Page,Malaysia,"Planning, Studying, and collecting data to determine costs of business activity such as raw material purchases, inventory and labour....",Johor,157,,42.0,Cost Analyst - Global leading manufacturing company
0,Kimberly-Clark,Malaysia,ITS Data Scientist. Data scientists must communicate effectively up and down the data supply chain:. A data scientist must be able to use data to tell stories....,Petaling Jaya,882,,51.0,ITS Data Scientist
1,Iprice Group Sdn Bhd,Malaysia,"Experience with big data platforms such as Hadoop, MapReduce, Spark. Inform, influence and support the business team by presenting insights and trends from...",Mid Valley City,,,,Data Scientist
2,Fave Group Pte Ltd,Malaysia,"Be a thought leader on data systems, data mining and analysis to scale our capabilities, uncover trends and develop insights....",Kuala Lumpur,,,,Data Scientist - KL
3,KFit,Malaysia,"Be a thought leader on data systems, data mining and analysis to scale our capabilities, uncover trends and develop insights....",Kuala Lumpur,,,,Data Scientist - KL
4,SELLBYTEL Services Malaysia Sdn Bhd,Malaysia,"Create data infrastructure and perform data analysis with statistical learning models. Familiar with data aggregation and manipulation using large data formats,...",Kuala Lumpur,6,,42.0,Data Scientist (English/Malay) - APAC (m/f)
5,SELLBYTEL Services Malaysia Sdn Bhd,Malaysia,"Create data infrastructure and perform data analysis with statistical learning models. Familiar with data aggregation and manipulation using large data formats,...",Kuala Lumpur,6,,42.0,Data Scientist (English) - APAC (m/f)
7,Xetron Solutions Sdn Bhd,Malaysia,Perform exploratory analysis and build visualizations of high-dimensional numerical data. Assist in the experimental design and planning process as your...,Kuala Lumpur,,,,Data Scientist
8,Iprice Group Sdn Bhd,Malaysia,With the support of our data scientist and developers you will work on scraping data and building machine learning algorithms to help with categorization and...,Kuala Lumpur,,,,Data Scientist - Internship
2,National Sports Institute of Malaysia (ISN),Malaysia,"Design and develop the data management system to reflect needs of coaches, sports scientists, medical staff and administrators in maintaining accurate records...",Kuala Lumpur,,,,Sports Data Management Analyst
4,Nokia,Malaysia,"Serving customers in over 100 countries, our research scientists and. Identifies issues early in the process and resolves problems proactively, uses data and...",Kuala Lumpur,2408,,51.6,Recruitment Consultant
5,Fusionex,Malaysia,Collaborate with data scientists and product development teams to build data products. Architect and develop high performance frameworks to process variety of...,Petaling Jaya,2,,39.0,Big Data Software Engineer
8,Citi,Malaysia,Performing data quality checks and manipulate data. Identifying and understanding the data points and data source systems associated with the risk area....,Kuala Lumpur,11052,,44.4,MYS CTSM KL - AML Data Scientist
9,Networkers,Malaysia,"Senior Data Scientist (Advisory). This role reports into the Chief Data Scientist. As a member of a team of analysts, data engineers and data scientists, this...",Kuala Lumpur,10,,51.0,Senior Data Scientist (Trainer)
0,SELLBYTEL Services Malaysia Sdn Bhd,Malaysia,"Create data infrastructure and develop statistical learning models for data analysis. Lead a team of data scientists to perform daily, weekly or monthly...",Kuala Lumpur,6,,42.0,Data Science Manager (English) – APAC (m/f)
1,Johnson & Johnson Family of Companies,Malaysia,The MAO TM performs tasks similar to the MAO Global Trial Manager (GTM) and in some instances to the Global Clinial Operations-Local Trial Manager (GCO LTM) for...,Petaling Jaya,2333,,52.8,Trial Manager
6,Michael Page,Malaysia,The Business Data Scientist portfolio will include setting a standard in obtaining marketing data in effort to assist in business related decision making...,Kuala Lumpur,157,,42.0,Data Science
7,Michael Page,Malaysia,The Business Data Scientist portfolio will include setting a standard in obtaining marketing data in effort to assist in business related decision making...,Kuala Lumpur,157,,42.0,Data Science / Data Analyst
8,Michael Page,Malaysia,The Business Data Scientist portfolio will include setting a standard in obtaining detailed data in effort to assist in business related decision making process...,Kuala Lumpur,157,,42.0,Data Scientist
9,Michael Page,Malaysia,"The Senior Manager, Data Scientist portfolio will include setting a standard in obtaining data in effort to assist in business related decision making process....",Kuala Lumpur,157,,42.0,"Senior Manager, Data Scientist"
1,Dokonee,Malaysia,Data Scientist (AI / Big Data). Talents is the key in bringing a business to the next level....,Kota Damansara,,,,Human Resource Manager
3,iprice group,Malaysia,With the support of our data scientist and developers you will work on scraping data and building machine learning algorithms to help with categorization and...,Kuala Lumpur,,,,Data Scientist - Internship
4,Sullivan Louis Consultancy,Malaysia,"Be a thought leader on data systems, data mining and analysis to scale capabilities, uncover trends and develop insights....",Kuala Lumpur,,,,Data Scientist
5,Innovatz Solutions,Malaysia,"Able to understand various data structures and common methods in data transformation. 5 + years’ practical experience with SAS, ETL, data processing, database...",Kuala Lumpur,,,,Data Scientist
6,Rams Solutions Sdn Bhd,Malaysia,"Implement features, algorithms, and/or insights into data applications (together with data engineers). Develops technical architecture for data applications and...",Cyberjaya,,,,Data Scientist
7,iprice group,Malaysia,"Experience with big data platforms such as Hadoop, MapReduce, Spark. Inform, influence and support the business team by presenting insights and trends from...",Mid Valley City,,,,Data Scientist
8,Xpand Group,Malaysia,"Experience with SAS, ETL, data processing, database programming and data analytics. Able to understand various data structures and common methods in data...",Kuala Lumpur,,,,Data Scientist
9,Pulse iD,Malaysia,Data Scientist - Kuala Lumpur. We are looking for a Data Scientist that will help us discover the information hidden in vast amounts of data currently stored in...,Selangor,,,,Data Scientist
0,ZALORA SEA,Malaysia,"Data analysis and reporting. We are looking for analytical thinking, goal orientated and good decision-making candidate to fill in the position Business Analyst...",Shah Alam,,,,Business Analyst - Logistics
1,Aspiro Sdn Bhd,Malaysia,Maintain learning data in the system. Maintain compensation and benefits data in the system. Update and maintain Employee life cycle data updates in system....,Shah Alam,,,,"Analyst, HR Services (Fresh Graduate)"
2,Standard Chartered Bank,Malaysia,Monitor production system performance and gather data for reporting. Technology & Operations....,Klang,1797,,51.6,Support Analyst
3,Cargill,Malaysia,Min of 5 year experience as analyst. Maintains systems/techniques for reporting data across functional areas....,Klang,1820,,43.8,Analytical Application and Instrumentation Specialist
4,Traveloka,Malaysia,"As a Data Analyst, you will be responsible for:. Marketing Data Analyst will support the Marketing team and Country Manager in analyzing and creating useful...",Kuala Lumpur,4,,51.0,Data Analyst
5,Ascension Lab Malaysia,Malaysia,M arket Research and Data Analyst. Gather market data and create reports and content. Extract and analyse data from the operational databasesa.n • Identify and...,Petaling Jaya,,,,Market Research and Data Analyst
6,Robert Walters,Malaysia,About the General Ledger (R2R) Analyst Role:. Great career progression opportunities await the right person in this exciting General Ledger (R2R) Analyst job....,Shah Alam,33,,43.8,General Ledger (R2R) Analyst
7,Avery Dennison,Malaysia,Data Maintenance for Price f(x). Build all analytical Data for Price f(x). 2-3 years of relevant experience as pricing analyst....,Kajang,611,,44.4,Pricing Analyst - ASEAN & ANZ
8,ON Semiconductor,Malaysia,"To work with various department on entities, events, RSCP and Data collection setup (Project base data maintenance) together with System Analyst....",Seremban,173,,43.8,"TECHNICIAN, CIM"
9,HSBC,Malaysia,CMB Business Analyst. Use own initiative to increase data availability and provide analytical inputs in support of business objectives....,Kuala Lumpur,8322,,51.0,Business Analytics Analyst
0,Moving Walls Sdn Bhd,Malaysia,Assisting Data Analysts with their reports via conducting manual surveys on site to validate data from electronic sources to ensure data integrity....,Kuala Lumpur,2,,51.0,Data Analytics Internship
1,H.B. Fuller,Malaysia,"Prepares financial data for reports, meetings, and management. Provides monthly variance analysis and signals key messages from the data....",Klang,121,,42.6,Financial Planning and Analysis Analyst
2,Networkers,Malaysia,Support data analysts and scientist in data preparation for analytics/data science projects. Strong knowledge data management process including data governance...,Kuala Lumpur,10,,51.0,Data Engineers
3,Traveloka,Malaysia,Conducting data analysis for marketing and business growth – Analyze customer data (internal/external) to drive insights that can be impactful for business...,Kuala Lumpur,4,,51.0,Pricing Analyst - Flight
4,Traveloka,Malaysia,Conducting data analysis for marketing and business growth – Analyze customer data (internal/external) to drive insights that can be impactful for business...,Kuala Lumpur,4,,51.0,Pricing Analyst - Hotel
5,Robert Walters,Malaysia,Owns the regular delivery of data audit activities to ensure data integrity and mitigate data issues. Oversees data entry provided to all HR groups and end...,Subang Jaya,33,,43.8,Master Data Management Lead
6,AstraZeneca,Malaysia,"Carry out all master data requests accurately and within specified timescales. Organised between global process towers, stakeholder engagement, helpdesk, cash...",Petaling Jaya,1188,,51.6,Analyst
9,Alcon Labs,Malaysia,Reconciles transactions by comparing and correcting data. Provides information to management by assembling and summarizing data;...,Petaling Jaya,742,,43.8,BPA Analyst
0,AstraZeneca,Malaysia,"Interpret financial data, and use knowledge and understanding of customer’s business, to deliver quality variance analysis and insightful commentary for...",Petaling Jaya,1188,,51.6,FP&A Analyst
1,Aspiro Sdn Bhd,Malaysia,"Supports the Enterprise data model, Data Governance and Data Quality frameworks to ensure compliance with enterprise and regulatory guidelines....",Shah Alam,,,,"Master Data Management, Senior Analyst"
2,Deloitte,Malaysia,"Performing primary and secondary research, data analysis and modelling to tackle complex business problems....",Kuala Lumpur,5329,,51.0,MY- GREAT Graduate Analyst - Technology (SAP)
3,Deloitte,Malaysia,"Provision of master and transactional data support and application support and development capabilities for the area of SAP, within the client’s ERP Application...",Kuala Lumpur,5329,,51.0,MY - AMS Analyst (Experienced) - Technology - SAP
4,Agensi Pekerjaan Symphony Search Sdn Bhd,Malaysia,"Knowledge in Cloud Computing, Big Data, Enterprise Service Bus (ESB), Enterprise. Critical understanding of business requirement to propose system integration...",Petaling Jaya,,,,Technical Integration Analyst
5,HappyFresh,Malaysia,"Data extraction for different functional team. Currently pursuing Bachelor's degree or higher in Computer Science, Math & Statistics, Data Science or Actuarial...",Kuala Lumpur,,,,Business Analyst Intern
6,Fusionex,Malaysia,"To work collaboratively with data scientists and analysts. Have a deep understanding of large data, our data structures, and how to manipulate our data in an...",Petaling Jaya,2,,39.0,Data Scientist
7,Moving Walls Sdn Bhd,Malaysia,Conduct deep dives into data trends and potential data irregularities using advanced analytics and statistical methods....,Kuala Lumpur,2,,51.0,Lead Data Analyst
8,GroupM,Malaysia,Data Manipulation with SQL. Knowledge on how data integration and interfaces between multiple systems work. What you will need:....,Kuala Lumpur,76,,44.4,"Support Analyst, Malaysia Applications Team"
9,Deloitte,Malaysia,General understanding of existing identity data in disparate systems (including Active Directory). All such personal data will be kept strictly confidential and...,Kuala Lumpur,5329,,51.0,Identity and Access Management (IT)
0,AAAAA Wealth Builders,Malaysia,Proficient in Microsoft Excel and data analysis programmers. Professional way to Interview clients to develop a proper financial management on their income and...,Petaling Jaya,,,,Business Analyst
1,Agensi Pekerjaan TalentC Recruit Sdn Bhd,Malaysia,"Working knowledge of UML, Use Case definition, Data Analysis or Data Modeling. Facilitate the business analyst in confirming the to-be process flow....",Petaling Jaya,,,,System Analyst
2,Kimberly-Clark,Malaysia,ITS Data Scientist. Data scientists must communicate effectively up and down the data supply chain:. The role collaborates with Business Analysts and Platform...,Petaling Jaya,882,,51.0,ITS Data Scientist
3,Gem Clinic,Malaysia,"Prepare report using data analytic tool and turn raw data into marketing insights. Identify, analyze, and interpret trends or patterns using statistical...",Petaling Jaya,,,,Internship for Data Analyst
4,Statworks (M) Sdn Bhd,Malaysia,Transform and mine data. Creating and cleaning data sources. Knowledge of data conversion and GIS digitization....,Petaling Jaya,,,,Internship for GIS Data Analyst / Data Scientist
5,Citi,Malaysia,"Responsibility for managing data, client interaction and contributing to. Will work closely with the regional banks’ analyst with day to day....",Kuala Lumpur,11052,,44.4,"Research Associate, Banks"
6,Deloitte,Malaysia,"Provision of master and transactional data support and application support and development capabilities for the area of SAP, within the client’s ERP Application...",Kuala Lumpur,5329,,51.0,MY - AMS Analyst (Fresh Grad) - Technology - SAP
7,TESCO,Malaysia,"Provide analysis to help write key reports, extract and manipulate complex data sets and enable simple interpretation of data....",Segambut,10014,,43.8,Customer Insight Analyst
0,ZALORA SEA,Malaysia,"Gather, compile customer data for analysis and reporting purpose. Able to work on multiple assignments or projects simultaneously and translate business data...",Kuala Lumpur,,,,Business Analyst (Customer Experience)
1,AIG,Malaysia,"Experience with consolidating data and developing reporting metrics. Collaborate with Finance, Marketing, and Reserving and with data analytics function to...",Kuala Lumpur,2126,,43.8,"Analyst, Pricing and Portfolio Management"
2,Starweb,Malaysia,"The position requires the candidate to possess strong analytical skills combined with data warehousing, data mining, structured query and report design &...",Kuala Lumpur,,,,Information Analyst
3,Johnson & Johnson Family of Companies,Malaysia, Ability to analyze and interpret complex problems / data gathered from a variety of sources and deliver superior business solutions....,Petaling Jaya,2333,,52.8,FINANCE ANALYST
5,Redmarch,Malaysia,Assisting in data analysis and reporting for various projects. Assisting in primary and secondary research for various projects across South East Asia....,Kota Damansara,,,,Market Intelligence Analyst
6,Starweb,Malaysia,"Customer Support Analyst Responsibilities. Data, SAP Access, Universal Work list. General knowledge of Microsoft products, Networking, Internet, able to do...",Kuala Lumpur,,,,Customer Support Analyst
7,Carsome Sdn Bhd,Malaysia,"Develop, implement, maintain and improve information database and data collection systems. Drive business results through development and execution of...",Petaling Jaya,,,,Business Analyst
8,McKinsey & Company,Malaysia,"As one of the fastest-growing parts of our firm, New Ventures has more than 1,000 dedicated professionals (including more than 800 analysts and data scientists)...",Kuala Lumpur,293,,52.8,"Analyst - Performance Improvement, Energy Insights"
9,McKinsey & Company,Malaysia,"In every analytics engagement, you will be responsible across the entire analytics value chain i.e. task definition, complex data analysis & modeling, data...",Kuala Lumpur,293,,52.8,Analytics Analyst
0,Agensi Pekerjaan Chillijobs Sdn Bhd,Malaysia,Experienced in SAP Data Migration. SAP Business Object Data Services BODS. Vacancy with British MNC in KL....,Kuala Lumpur,,,,"Data Services Analyst, SAP Kuala Lumpur"
1,BP,Malaysia,Experience of maintaining SAP OM data structures within BP or another large multi-national business. Utilize SAP system utilities to manage mass changes to SAP...,Kuala Lumpur,1951,,51.0,OM Analyst
2,BP,Malaysia,The Trade Loan Analyst reports as per the escalation matrix if any discrepancy in the data or process GAP may be identified....,Kuala Lumpur,1951,,51.0,Trade Loan Analyst
3,BHP Billiton,Malaysia,Payroll and Data Analyst. Payroll and Data Administrator. Highly accurate data entry skills. Uploads Master data into HR system....,Kuala Lumpur,550,,51.6,Administrator HR Data Management
4,Citi,Malaysia,Data manipulation and analysis Working knowledge of the. In-depth investigation into extracted data to support business initiatives....,Kuala Lumpur,11052,,44.4,Citibank Berhad KL – MIS Analyst Officer
5,Aimia,Malaysia,Love data and deep dive exploratory analysis. Quantitative and comfortable working with large amounts of data....,Kuala Lumpur,74,,42.6,Insights Analyst
6,WorleyParsons,Malaysia,"Responsible for issue resolution, data analysis and customer complaints through working with vendors, other teams and location stakeholders....",Kuala Lumpur,1167,,44.4,Payroll Analyst
7,BAE Systems Applied Intelligence,Malaysia,The Threat Analyst is responsible for collecting and maintaining threat data from open and closed sources to build a picture of threats groups that are relevant...,Kuala Lumpur,34,,43.2,Threat Intel Analyst
8,U Mobile,Malaysia,Work with Data Analytics team to draw insight from campaign results; Act as key business partner and advisor for Marketing Division to ensure data driven based...,Kuala Lumpur,4,,43.8,SE - Product Analyst
9,MPH Global Services,Malaysia,Analyst FP & AIndustry :. Proficient excel skill is desired to run multiple-level of data presentation. Management accounting and reporting Proficient in excel...,Kuala Lumpur,,,,Analyst FP & A
0,Starweb,Malaysia,"Monitors, maintains, and troubleshoots data or voice networks and responds to messages, alarms, or problems identified by tools....",Kuala Lumpur,,,,Network Analyst
1,QuintilesIMS,Malaysia,"Our people are analysts, statisticians, software engineers, consultants, sales leaders, marketing and product managers, and more....",Kuala Lumpur,913,,44.4,Analyst (Management Consulting) based in Malaysia
2,AIG,Malaysia,Sourcing external data for competitive insights of competitors’ products & strategies and market comparison....,Kuala Lumpur,2126,,43.8,Market Analyst
3,Networkers,Malaysia,"Serve as an open source Cyber threat intelligence analyst. Responsible for Level 2 / Level 3 Alert Reviewing and Investigation, when Security Analysts identify...",Cyberjaya,10,,51.0,Cyber Threat and Intelligence Analyst
4,Experian,Malaysia,"We are the leading global information services company, providing data and analytical tools to our clients around the world. Experian (M) Sdn Bhd....",Cyberjaya,672,,42.6,Technical Analyst
5,Epicor,Malaysia,Backing up and restoring data and systems using Veritas Backup Exec and Veeam. Epicor Software Corporation is a global leader delivering business software...,Kuala Lumpur,129,,41.4,Senior IT Support Analyst (Desktop & Server Admin)
6,Experian,Malaysia,The Pricing Analyst role provides an excellent opportunity to:. Minimum 5 years experience with proven track record in data analysis....,Cyberjaya,672,,42.6,Pricing Analyst
7,Experian,Malaysia,"Group FP&A Analyst. We are the leading global information services company, providing data and analytical tools to our clients around the world....",Cyberjaya,672,,42.6,Group FP&A Analyst
8,Logicalis,Malaysia,"Minimum 1 year experience in a NOC or Data Centre support environment. Logicalis Australia is part of the Logicalis Group, a global ICT solutions and managed...",Cyberjaya,39,,42.0,Network Analyst
9,Epicor,Malaysia,Technical Support Analyst. Routine preventive maintenance on customer’s servers located at customer’s site or at the data center to prevent or minimize downtime...,Kuala Lumpur,129,,41.4,Technical Support Analyst
0,QuintilesIMS,Malaysia,Monitor trends in supplier’s data submission and investigate any apparent anomalies. Research suspected problems and propose required changes to the data if...,Kuala Lumpur,913,,44.4,Production Analyst
1,Singtel,Malaysia,Handle Proactive Event Management HPOVO for Cloud & Data Centre services. Provide End-to-End request management and fulfillment for Cloud & Data Centre...,Kuala Lumpur,152,,43.8,"Technical Analyst, Cloud & Datacentre"
2,Experian,Malaysia,"Identify test data requirements and test data provisioning. Test Analyst is responsible for preparing the test cases, test scripts, test environment, execution...",Cyberjaya,672,,42.6,Test Analyst
3,Convergys,Malaysia,"Coordinate the implementation of reporting processes (i.e., development of data collection tools and the establishment of data collection and distribution...",Kuala Lumpur,11848,,42.0,Reporting Analyst
4,Johnson Matthey,Malaysia,"Design, develop, test and deploy integration components which will include development of data mapping using XLST, XQuery, Java and configuration of integration...",Kuala Lumpur,141,,41.4,Integration Analyst
5,BP,Malaysia,To support business performance management and planning processes by using consistent data collection and reporting processes;...,Kuala Lumpur,1951,,51.0,Security Analyst
6,Hewlett Packard Enterprise,Malaysia,Applies treasury subject matter expertise in multiple areas of specialization to contribute to treasury programs Communicates with internal teams and managers...,Cyberjaya,2612,,43.8,Treasury Analyst
7,Deloitte,Malaysia,Able to proficiently use various charts and visuals to convey message and data. Ability to conduct exhaustive secondary research i.e. know where to find...,Kuala Lumpur,5329,,51.0,Research Analyst (SEA RA)
8,Fiserv,Malaysia,Accurately performs data conversion and data analysis with assistance from more senior project members initially and once fully trained will be the core...,Kuala Lumpur,1287,,42.0,"Analyst, Financial Performance Services"
0,Expert Integrators - EXI,Malaysia,System Analyst II. Record to Report Analyst. SAP CRM ABAP Analyst (Contract). Knowledge of data warehousing and database concept....,Kuala Lumpur,,,,SAP Associates (Entry Level)
1,Sdrops Solutions,Malaysia,"Create specifications for reports, data and analysis using system reporting tool. Meet individuals to understand business needs and to provide data and analysis...",Kuala Lumpur,,,,Business Analyst
2,Cochlear Ltd,Malaysia,That use item and bill of material data. To support Cochlear's rapid growth we have created a new role for System Analyst for our Global Product Configurator....,Kuala Lumpur,6,,54.0,System Analyst
3,Sdrops Solutions,Malaysia,Passionate in understanding data. Assist in the design of data warehouses to ensure interoperability with reporting solutions....,Kuala Lumpur,,,,Business Intelligence Analyst
4,Citi,Malaysia,"10+ years’ experience in IS and at least 2 IS programs including, but not limited to, Audit Reviews, IS Risk Assessment, Awareness and Training, Identity Access...",Kuala Lumpur,11052,,44.4,Citibank Berhad KL - Information Security Controls Analyst
5,General Mills AMEA,Malaysia,"Comfortable in handling large volume of data. This position reports directly to the FP&A Manager, Korea and SEA....",Kuala Lumpur,1123,,51.0,Financial Planning and Analysis Analyst
6,Deloitte,Malaysia,"Performing primary and secondary research, data analysis and modelling to tackle complex business problems....",Kuala Lumpur,5329,,51.0,MY - GREAT Analyst - Technology - (Oracle)
7,Honeywell,Malaysia,"You will also identify trends and developments in competitive environments and present findings to senior management.Establish clear, consistent reporting and...",Kuala Lumpur,4873,,44.4,Financial Analyst
0,Micro Focus,Malaysia,Provides mentoring and guidance to analysts. Typically 6+ years of experience as a financial analyst. We are looking for a Financial Analyst in Malaysia who...,Kuala Lumpur,100,,44.4,Financial Analyst
1,Honeywell,Malaysia,"Establish clear, consistent reporting and operating processes - ensuring accurate and timely data availability and insightful, thorough analysis....",Kuala Lumpur,4873,,44.4,Financial Planning Analyst
2,Experian,Malaysia,"Service Desk Analyst. This includes ensuring support requests meet data quality requirements, are progressing satisfactorily and stay within agreed SLAs....",Cyberjaya,672,,42.6,Service Desk Analyst
3,BP,Malaysia,"Assist in coordinating the collation and analysis of data in response to the Regional / ad-hoc inquiries, developments and requirements....",Kuala Lumpur,1951,,51.0,Finance Analyst
