,company,country,description,location,review,salary,star,title
5,Terminal 1,Hong Kong,"Our recruiters are highly skilled software engineers, product designers, data scientists, accountants, and lawyers with strong technical skills and a network in...",Hong Kong,,"$20,000 - $40,000 a month",,Full Stack Developer
7,Bright Future Pharmaceutical Laboratories Ltd,Hong Kong,"ob description:  1. Provide technical guidance for the analytical development of drug substance and drug products, including but not limited to review...","Yuen Long, New Territories",,,,Senior Scientist (QR)
0,Terminal 1,Hong Kong,"Our recruiters are highly skilled software engineers, product designers, data scientists, accountants, and lawyers with strong technical skills and a network in...",Hong Kong,,,,Junior DevOps Engineer
1,Pacific Careers,Hong Kong,"Work closely with data scientist, project team, and development team to deliver the analytics solutions with results....",Hong Kong,,,,Solution Specialist (Analytics)
0,Seekers Capital,Hong Kong,"Clear understanding of algorithms and data structures. In this role as a Java developer, you will join a dynamic team to build a quantitative research platform...",Hong Kong Island,,,,Java Developers - all levels
1,Seekers Capital,Hong Kong,"WebGL, real-time data visualization, not necessarily in finance. Leverage modern technologies to build cutting-edge software including advanced visualizations...",Hong Kong Island,,,,Web JavaScript Developer
2,Mainstay Asia,Hong Kong,"Creating a roadmap for enhancing the collection of data, establishing a data management strategy and setting data standards/governance....",Hong Kong,,,,Chief Data Scientist
3,Terminal 1,Hong Kong,"Our recruiters are highly skilled software engineers, product designers, data scientists, accountants, and lawyers with strong technical skills and a network in...",Hong Kong,,,,UI/UX Designer
4,Nakama,Hong Kong,"Proven technical competence in data extraction, data modeling and analytics. Curiosity in data and machine learning innovation....",Hong Kong,,,,Senior Customer Insights Manager
5,Terminal 1,Hong Kong,"Our recruiters are highly skilled software engineers, product designers, data scientists, accountants, and lawyers with strong technical skills and a network in...",Hong Kong,,"$20,000 - $40,000 a month",,Junior Software Developer
6,Klickto,Hong Kong,Demonstrated ability to conduct independent research utilizing large data sets. Researchers and Data Scientists will be responsible for independently conducting...,Hong Kong,,,,Quantitative Researcher
7,The University of Hong Kong 香港大學,Hong Kong,"The academic degree should be in Bioinformatics, Biological Sciences, Computer Science or a related discipline, while work experience should involve solid hands...","Pok Fu Lam, Hong Kong Island",,,,Scientific Officer/Research Officer
8,L3 Bioinformatics,Hong Kong,"To participate in R&D projects on high performance computing technologies for the analysis of ""big"" genomics data....",Hong Kong,,,,Software Engineers
9,KOS International Limited,Hong Kong,"Big data, R, Python, Java, JavaScript, Data warehousing, data warehouse, hadoop, bigSQL, SAS, data mining, CRM, analytics, big data analytics, data scientist,...",Hong Kong,,,,"Senior Manager, Big Data (Banking)"
0,IT-RecruitHK,Hong Kong,Data integrity assurance. Identify data sources and transform useful information to database. Jobs / SQL statements tuning....,Hong Kong,,,,Data Analyst/Programmer/Analyst Programmer-Wan Chai
1,HSBC,Hong Kong,"Utilize market data applications such as Bloomberg and Datastream. Identify, collect and maintain news flow and data that influence and affect the company,...","Central, Hong Kong Island",8322,,51.0,Research Analyst - Research
2,Neo Derm Ltd.,Hong Kong,Assist the Manager on managing corporate performance and operational efficiency to achieve the business objectives Drive improvement projects with the...,Hong Kong,,,,Data Analyst
3,stepcase,Hong Kong,"You'll architect, implement and deploy new data models and data processes in production. You'll perform data analysis to generate business insights....",Hong Kong,,,,Data Analyst
4,WHub,Hong Kong,We are looking for enthusiastic Data Analysts/Data Scientists Interns to join us for 3-6 months to support our data analytics development as we are rolling out...,Hong Kong,,,,Others - Data Analyst/Data Scientist Interns
5,WHub,Hong Kong,Proven working experience as a data analyst or business data analyst. Acquire data from primary or secondary data sources and maintain databases/data systems....,Hong Kong,,,,Others - Data Analyst
6,JP Morgan Chase,Hong Kong,"Resolve data conflict with other regions. JPMorgan Asset Management (""JPMAM"") provides investment management products and services to institutional and...","Mong Kok, Kowloon",14825,,44.4,"Asset Management, Data Management, Analyst"
7,The Hong Kong University of Science and Technology,Hong Kong,"Providing IT support for business intelligence/data analytics initiatives of the University (such as data warehouse, data sharing portal, automation of data...","Clear Water Bay, New Territories",13,,44.4,Data Analyst (at the rank of Assistant Computer Officer)
8,Bank of America,Hong Kong,"Assess market trends and provide quantitative data for clients . Assist in providing quantitative data and succinct, comprehensive explanations of complex...",Hong Kong,18586,,44.4,Global Markets | Summer Analyst Internship 2018
9,WHub,Hong Kong,Proven experience as a Data Scientist or Data Analyst. Experience in data mining. Tableau) and data frameworks (e.g....,Hong Kong,,,,Growth Hacking - Data Scientist
0,Cigna,Hong Kong,"Knowledge of data mining, is highly preferred. Perform regular diagnostics to assess data quality and model performance....",Kowloon,2475,,43.2,"Data Analyst, CVM (1 year contract)"
1,Investment Technology Group (ITG),Hong Kong,"Experience in working with large data sets. Strong understanding of statistical software, databases, data mining, SQL and scripting languages....",Hong Kong,7,,42.6,Quantitative Analyst
2,Classy Wheeler,Hong Kong,"Data integrity assurance, monitor job alerts, rescue / restore problem data records / jobs. Identify data sources, transform, correlate and aggregate the...","Tsing Yi, New Territories",,,,Data Analyst
3,Moody's Investors Service,Hong Kong,"Preparation of slide packs and presentation materials to support analyst outreach. Ad hoc pulling, maintenance and charting of data to support analysts in...",Hong Kong,42,,42.6,Data Analyst
4,HKT,Hong Kong,"The role involves leveraging data, both currently available ""Big Data"", with various external data sources, to develop a deep, while actionable, understanding...",Hong Kong,6,,52.8,Data Analyst
5,Banclogix System Co. Limited,Hong Kong,Coordinate with counter parties to ensure timely delivery of data and projects implementation. Provide and support internal users to utilize data in both...,Hong Kong,,,,Data Analyst
6,Expedia,Hong Kong,"Strong analytical skills, including data manipulation, financial analysis and processing large amounts of data to understand trends....",Hong Kong,467,,51.0,Search Engine Marketing Specialist (Programming/Data Analyst)
7,WHub,Hong Kong,Identify new alternative data sources and explore modern technology to automate data flow and reporting. We are looking for an Data Analyst with proven ability...,Hong Kong,,,,User Experience / Information Architecture - Data Analyst
8,GoGo Tech Limited,Hong Kong,Prior experience working with data. Interest in logistics problems and geographic data. Familiarity with tools and libraries for data analysis....,Hong Kong,,,,Data Scientist / Data Analyst
9,Cigna,Hong Kong,"Knowledge of data mining, is highly preferred. Perform regular diagnostics to assess data quality and model performance....","Causeway Bay, Hong Kong Island",2475,,43.2,CVM Data Analyst
0,HSBC,Hong Kong,Product Research Analyst. Maintain databases and manage data providers. Personal data held by the Bank relating to employment applications will be used in...,"Central, Hong Kong Island",8322,,51.0,Product Research Analyst - Global Asset Management
1,Avery Dennison,Hong Kong,"Experience in data modeling and data management (SQL database, business intelligence, AI experience preferred)....",Hong Kong,611,,44.4,Business Analyst
2,我主良緣婚戀集團(香港)有限公司,Hong Kong,Experienced in Excel or Tableau or other data analytics tools. Coordinate with counter parties to ensure timely delivery of data and projects implementation....,"Tsim Sha Tsui, Kowloon",,,,Data Analyst
3,Goldman Sachs,Hong Kong,Building data analytics using popular storage and visualization technologies to empower market data users to manage their costs....,Hong Kong,922,,51.6,"Technology, Platforms, Market Data Business Analyst, Hong Kong"
4,JP Morgan Chase,Hong Kong,As a Front Office facing CI Business Analyst you will…. Drive user adoption by conducting 1x1 and group training sessions To excel in this role you should have...,Hong Kong,14825,,44.4,"Business Analyst – Client Intelligence (Front Office facing), Associate"
5,Fitch Group,Hong Kong,Financial data entry and maintain up-to-date databases/systems. Resourcefulness in terms of managing challenges associated with data collection and analysis;...,Hong Kong,,,,"Credit Analyst, Non-Banking Financial Institutions"
6,CT Risk Solutions Limited,Hong Kong,IT (Product Management / Business Analyst). Conduct data entry with precision and diligence. Data collected will be used for recruitment purpose only....,Hong Kong,,,,Data Assistant
7,Citi,Hong Kong,Support the presentation of financial data for legal entity governance meetings. Excellent computer skills including mass data management in excel or database...,Hong Kong,11052,,44.4,HK - GF - Financial Reporting Analyst
8,Blue Umbrella,Hong Kong,Accurately summarize the data. The Junior Analyst at Blue Umbrella is part of the core foundation of the Due Diligence team whose role is to conduct the...,Hong Kong,,,,Junior Analyst
9,Bloomberg,Hong Kong,"Global Data makes Bloomberg the most sought-after data source in the world. What's Global Data all about? We collect, analyze, and present data that informs...",Hong Kong,534,,44.4,Global Data - Market Data Analyst - Hong Kong
0,Bank of America,Hong Kong,Gathering and analyzing data and information. Maintaining and creating data files and macro/financial market models....,Hong Kong,18586,,44.4,Global Research | Off-cycle Internship 2018
1,Chong Hing Bank 創興銀行,Hong Kong,"Collect and study market data and information, and conduct research. Study market trends and provide trading ideas....",Hong Kong,,,,Research Analyst
2,Standard Chartered Bank,Hong Kong,"Ability to work with data organized across platforms and formats (MS Access tables, SAS datamarts, Excel spreadsheets, text files). Regular/Temporary:....",Hong Kong,1798,,51.6,"Director, Analytics, DDM"
3,West Kowloon Cultural District Authority,Hong Kong,Data collected will only be used for job application processing. All related information will be kept up to 24 months and all personal data will be destroyed...,Kowloon,,,,Business Analyst
4,AXA General Insurance,Hong Kong,"Assistant Business Analyst (1 year contract). Support the production fix, communicate with different parties, understand the system behaviors, correct the data...",Hong Kong,578,,44.4,Assistant Business Analyst (1 year contract)
5,HSBC,Hong Kong,"Actuarial Analyst, Actuarial Analytics. Personal data held by the Bank relating to employment applications will be used in accordance with our Privacy Statement...","Tai Kok Tsui, Kowloon",8322,,51.0,"Actuarial Analyst, Actuarial Analytics - HSBC Insurance"
7,JP Morgan Chase,Hong Kong,"Your days will be filled analyzing data and building models to assist internal clients. You’ll learn to recognise critical data points, analytical concepts and...",Hong Kong,14825,,44.4,CIB – Equity Research – Fixed Term Contractor (6 months) - Analyst
8,AXA General Insurance,Hong Kong,Assistant Risk Analyst (1 year contract). Monitor action plans Consolidate and analyze financial data and information. AXA Hong Kong Life and General Insurance....,Hong Kong,578,,44.4,Assistant Risk Analyst (1 year contract)
9,Sportshouse,Hong Kong,Data collected will be used for recruitment purpose only. Gather and analyse requirements from business users and prepare requirements documents and functional...,Hong Kong,9,,43.8,IT - Assistant Business Analyst
0,SAFE Investment,Hong Kong,0-3 years working experience in financial industry and/or data analytics areas. Develop or enhance data resources infrastructure and portfolio and risk analytic...,Hong Kong,,,,Data Analyst
1,QBE,Hong Kong,Undertake data analysis and produce management information. Provides input into business decisions through the data analysis of trends and business...,Hong Kong,88,,43.2,Business Analyst
2,中國移動 China Mobile,Hong Kong,"Word, Excel, Access, Data Mining Software etc.). To study complaint data for root cause analysis. To prepare user requirement and perform testing for system...",Hong Kong,,,,Business Analyst
3,Levi Strauss & Co.,Hong Kong,Identifying data discrepancies (e.g. Have primary responsibility for maintaining an acceptable level of data quality in the visibility tool/application;...,Hong Kong,1503,,44.4,Logistics Analyst
4,HSBC,Hong Kong,"Research Analyst, Infrastructure and Industrial. Utilize market data applications such as Bloomberg and Datastream....","Central, Hong Kong Island",8322,,51.0,"Research Analyst, Infrastructure and Industrial - Research"
5,AS Watson Careers,Hong Kong,Candidates with more experience will be considered as Senior Business Analyst. All personal data of unsuccessful applicants will be destroyed within 12 months...,"Fo Tan, New Territories",,,,Business Analyst - Group IT Innovation Management
6,Aimia,Hong Kong,Love data and deep dive exploratory analysis. Quantitative and comfortable working with large amounts of data....,Hong Kong,74,,42.6,Insights Analyst
7,Société Générale,Hong Kong,"Advanced knowledge of Excel and / or data mining tools such as Access, SQL, or SAS. Market Performance Analyst (MPA) is a team located within the Finance...",Hong Kong,1153,,44.4,TRAINEE: Market Performance Analyst
8,Citi,Hong Kong,"Experience in data mining, data analysis or database management. Analytical thinking in data interpretation and innovative contribution. HK,Hong Kong,Hong Kong....",Hong Kong,11052,,44.4,HK - GCB O&T - MIS Analyst
9,GCA Professional Services Group,Hong Kong,Analyst - Mineral & Energy Advisory. Candidates with more experience will be considered as Senior Analyst....,Hong Kong,,,,Analyst - Mineral & Energy Advisory
0,Standard Chartered Bank,Hong Kong,Job Function: Wealth Management Regular/Temporary: Permanent Full/Part Time: Full time Policies and Processes related areas: Process reengineering and...,Hong Kong,1798,,51.6,Policies & Processes Analyst
1,Cathay Pacific,Hong Kong,Personal data provided by job applicants will be used strictly in accordance with our personal data policy and for recruitment purposes only....,Hong Kong,145,,51.6,Solution Analyst
2,Grana,Hong Kong,Identify and troubleshoot tagging issues affecting data accuracy. Grana is looking for an eCommerce Analyst with the following responsibilities:....,Hong Kong,,,,eCommerce Analyst
3,Standard Chartered Bank,Hong Kong,Ensure the suitability and quality of case data maintained on enterprise case management systems. Apply risk and data analytic tools/techniques to optimise and...,Hong Kong,1798,,51.6,"Analyst, FCC, Investigations"
4,QBE,Hong Kong,"Research, collate, obtain and analyze statistical data for decision making/ specific processes. Provide actuarial services to support the operations in HK...",Hong Kong,88,,43.2,Actuarial Analyst
5,S&P Global,Hong Kong,Analyze pertinent information and data necessary for assigning credit ratings on insurance companies and their debt issues....,Hong Kong,36,,43.8,Ratings Analyst-Insurance Ratings
6,SIRIUS Partners Ltd,Hong Kong,We are currently seeking an Asia high yield fixed income credit analyst. The High Yield Credit Analyst will cover two to three sectors which could include:....,Hong Kong,,,,Asian HY Credit Analyst
7,Forward3D,Hong Kong,"Analysing campaign performance and conduciting data analysis of our activity vs. the client KPIs. Agile, data driven and pioneering, you won’t find layers and...",Hong Kong,3,,52.8,PPC Analyst (Hong Kong)
8,HK Express,Hong Kong,Be a U-FLY holidays data guru - be the point of contact for all data questions and insights; Fulfill ad-hoc requests for data and analysis....,Hong Kong,,,,Revenue & Product Analyst (U-FLY Package Holidays)
9,LVMH Asia Pacific,Hong Kong,"Participate in the annual compensation & benefit cycles such as annual salary review process, providing the relevant market and internal data to support...",Hong Kong,,,,VIE - Regional C&B Analyst
0,Cathay Pacific,Hong Kong,"You will work either as a Flight Analyst, a Pricing Analyst, a Demand Analyst or a Group Analyst, it is expected that you will move between these positions...",Hong Kong,145,,51.6,Revenue Analyst
1,Société Générale,Hong Kong,"Client Data Management. Ensure client data (e.g. Analytical skills, precision, curiosity, tenacity and autonomy are key qualities in a KYC Analyst job....",Hong Kong,1153,,44.4,KYC Analyst
2,Haitong,Hong Kong,All applications will be treated in strict confidence and personal data collected will be used for recruitment purpose only....,Hong Kong,,,,Configuration Analyst
3,Goldman Sachs,Hong Kong,Good analytical skills and clear understanding of algorithms and data structures. The Private Investors Product Group (PIPG) is part of the Securities Division...,Hong Kong,922,,51.6,"Securities, PIPG Strats, Analyst, Hong Kong"
4,Standard Chartered Bank,Hong Kong,Ensure data entry has been performed accurately cross referencing with documents. Regular/Temporary:....,Hong Kong,1798,,51.6,"Analyst, Specialised Activities Team, DDM"
5,AXA,Hong Kong,"Maintain a clearly documented audit trail of data,. One or two valuation production such as European Embedded Value (EEV),....",Hong Kong,578,,44.4,Actuarial Analyst
6,Bank of China (Hong Kong),Hong Kong,Conduct business data / financial analysis and banking research. Candidates with less experience will be considered as Analyst (Business Strategic Planning)....,Hong Kong,,,,Analyst / Strategic Planner
7,Goldman Sachs,Hong Kong,The Asia Macro Trading desk is looking for an analyst who would focus on trading FX and interest rates across non-Japan Asia markets....,Hong Kong,922,,51.6,"Securities, FICC, Asia Macro Trading, Analyst, Hong Kong"
8,Goldman Sachs,Hong Kong,"Data modeling including machine learning. We are looking to grow the Desk Strat team working with the Macro Trading business, covering Rates and FX....",Hong Kong,922,,51.6,"Securities, FICC, Rates & FX Trading Strats, Analyst, Hong Kong"
0,ITCS Group,Hong Kong,"Specialized in data gathering, excel/database and reporting. Perform data gathering & analysis, and any project reports....",Hong Kong,,,,Project Analyst
1,Bank of America,Hong Kong,The Technology Analyst Program offers development and non-development roles in the following areas (depending on business need)....,Hong Kong,18586,,44.4,Global Technology | Summer Analyst 2018
2,lululemon athletica,Hong Kong,"A day in the life of a Business Analyst. Ensure that legal & regulatory requirements are met, including data protection, disability discrimination and...","Eastern, Hong Kong Island",277,,52.2,Business Analyst
3,Dun & Bradstreet,Hong Kong,Our purpose is to grow the most valuable relationships in business by uncovering truth and meaning in data. Why We Work at Dun & Bradstreet....,"Kwun Tong, Kowloon",75,,44.4,Business Analyst
