,company,country,description,location,review,salary,star,title
7,bukalapak,Indonesia,"Petabytes of data, millions of customers. Work with billions of rows of data. Work within a cross-functional product team, collaborating with engineers from all...",Jakarta,,,,MACHINE LEARNING / AI ENGINEER
8,PT. Jasa Teknologi Informasi IBM,Indonesia,Data mining using state-of-the-art methods. Having experience involving quantitative data analysis to solve problems....,Jakarta,,,,Data Scientist
0,Blue Visions Management,Indonesia,"Proficient in Data network. We are looking for Data Network Engineers on behalf of our client, a major telecommunication company based in Jakarta....",Jakarta,,,,Data Network Engineer
1,Wika Group,Indonesia,"Analysis and evaluation of data (Big Data). Data Analyst (m/f). Completed technical studies in the field of mathematics, electrical engineering, physics or...",Jakarta,,,,"Data Analyst (m/f)Klingenberg (Main), WIKA Alexander Wiegand SE & Co. KG"
3,Tokopedia,Indonesia,Identify and interpret trends or patterns in data sets. Bigger and better data give us both more panoramic and more granular views of our business environment...,Jakarta,2 ulasan,,51.0,Data Analyst
5,Roche,Indonesia,Strong business/financial acumen driven by data analysis. You have to obtain Bachelor Degree majoring in Finance/Accounting or Engineering and have minimum 2-3...,Jakarta,859 ulasan,,52.2,Data Analyst
7,Traveloka,Indonesia,"Enhance our data infra, analyze large, complex data sets into actionable insights. Passion in big data. As an Associate Data scientist, you play a key role to...",Jakarta,4 ulasan,,51.0,Associate Data Scientist
8,Traveloka,Indonesia,"Passion in big data. As a Data scientist, you play a key role to solve complex problems and drive insights from our sea of data....",Jakarta,4 ulasan,,51.0,Data Scientist
0,EY,Indonesia,EY Data and Analytics creates intelligent client organizations using data & advanced analytics. EY Data and Analytics is the data and advanced analytics...,Jakarta,3.881 ulasan,,51.0,Performance Improvement - Analytics / Data Science Consultant
1,Tokopedia,Indonesia,"Conduct engineering part in data preprocessing flow from data extraction, such as:. If you think you have passion in doing both engineering and data...",Jakarta,2 ulasan,,51.0,Data Preprocessing Specialist-Internship
2,Mitra Integrasi Informatika,Indonesia,"Data Scientist, DBA & Data warehouse - (170000E5). Loading from disparate data sets, Perform data migration and conversion activities, Deploy, Run, and Debug...",Jakarta,,,,"Data Scientist, DBA & Data warehouse"
3,PT Merah Cipta Media,Indonesia,"Bachelor Degree, major in Computer Science, Information Technology Passion in programming, building robust, reliable and scalable app Has a good concern in...",Jakarta,,,,Data Science Engineer
5,FinAccel,Indonesia,"Computer Science, Engineering, Economics, or Mathematics). You need to be comfortable with data – Analyse it, question its validity, interpret it, and develop...",Jakarta,,,,Data Analyst
7,OTO Group,Indonesia,"Pendidikan min. D3/S1 Teknik Informatika / Manajemen Informatika / Teknik Komputer*. Memastikan pelaksanakan instalasi, pemeliharaan dan perbaikan pada ruangan...",Jakarta,,,,It Data Center Officer
8,Excellerate,Indonesia,"Experience in data mining and data analysis. Experience in data extraction and processing, feature engineering and correlation analysis;...",Jakarta,,,,Data Scientist
9,SAP Expert,Indonesia,"S1 Degree from well known university in master data management, information management, industrial engineering or other related areas....",Jakarta,,,,SAP Master Data Analyst - Permanent
0,EY,Indonesia,Performed data cleansing and data quality treatment using industry standard tools. Oracle Data Integration Suite....,Jakarta,3.881 ulasan,,51.0,Performance Improvement - Analytics / Data Engineering Consultant
1,OLX Group,Indonesia,"Data engineering, pricing team, and data science. All around knowledge surrounding data engineering. The Head of Data Analytics reporting to COO OLX ID, you...",Jakarta,,,,Head of Data Analytics
2,Uber,Indonesia,What you'll doApply strict sampling and statistical inference techniques to derive insights from small samples of data and continuously identify new ways to use...,Jakarta,,,,Business Intelligence Manager - Indonesia
3,Tokopedia,Indonesia,"Major in engineering, computer science, information system or related fields. Familiar with data visualization using BI tools (Tableau, Qlik, Tibco, etc) is a...",Jakarta,2 ulasan,,51.0,Business Intelligence Specialist
4,Ralali,Indonesia,"Leading the continuous design, development, and maintenance of our data infrastructure and tools including, but not limited to, data warehouses, ETL tools, and...",Jakarta,,,,Business Intelligence Head
5,Tokopedia,Indonesia,"As a data engineer, you will design, build, maintain, and scale our data pipeline and infrastructure. Make current data infrastructure better by exploring and...",Jakarta,2 ulasan,,51.0,Data Engineer
7,Next Career (Executive Search of Karir.com),Indonesia,"S1 Degree from well known university in master data management, information management, industrial engineering or other related areas....",Jakarta,,,,Master Data Analyst
8,Ralali,Indonesia,Experience designing data models and data warehouses. You’ll have the opportunity to design innovative data solutions and solve challenging problems using...,Jakarta,,,,Data Engineer
9,GO-JEK,Indonesia,"You will work very closely with GO-JEK product engineering team (developers, product managers, UI/UX designers, data science, business intelligence) across...",Jakarta,,,,Technical Learning Specialist
0,Rumah Sakit Muhammadiyah Taman Puring,Indonesia,D3 Teknik Radiodiagnostik. Melakukan input data registrasi pasien. Melakukan kegiatan pelayanan radiologi sesuai dengan sistem & SOP....,Jakarta,,,,Radiograferr
1,Traveloka,Indonesia,"Bachelor degree (S1) or equivalent in Computer Science, Computer Engineering, Electrical Engineering, or other related field of study....",Jakarta,4 ulasan,,51.0,Network Engineer
2,"Nextar Recruiters Network, PT",Indonesia,"Conduct training and manage network engineer team. Telecom Services supporting voice, data & video applications....",Jakarta,,,,NETWORK ARCHITECT
4,Traveloka,Indonesia,"C ollaborating closely with Data Analysts and/or Data Scientists in designing, refining, and implementing algorithms and in system development....",Jakarta,4 ulasan,,51.0,Machine Learning Lead
6,"Nextar Recruiters Network, PT",Indonesia,Degree or relevant Diploma in Mechanical Engineering / Manufacturing. Microsoft PC skills experience required and versatile in handing data....,Jakarta,,,,PLANNER / BUYER- PURCHASING
7,Black & Veatch,Indonesia,"Overseeing collection, assimilation, and management of data for engineering work; Intermediate knowledge of engineering design principles and applicable design...",Jakarta,,,,Site Mechanical Engineer (Senipah Project)
9,Traveloka,Indonesia,"Join our ambitious growing team in building large impact consumer products and services, building real-time and big data systems and platforms, coming up with...",Jakarta,4 ulasan,,51.0,Corporate Strategy Analyst
0,Traveloka,Indonesia,"S1/S2 degree from Top Universities in Science, Technology, Engineering, Mathematics with min. GPA 3.5 on 4.0 scale....",Jakarta,4 ulasan,,51.0,Business Analyst - Promotion
1,Traveloka,Indonesia,Extract and manipulate data from multiple sources for insights. Conduct complex data analysis to help drive and support business decisions....,Jakarta,4 ulasan,,51.0,Business Intelligence Analyst
3,MarkPlus,Indonesia,"Analysis of market research data. Bachelor’s degree in any major, preferably in Engineering or Economics with GPA min. of 3.20....",Jakarta,,,,Business Analyst
4,Roche,Indonesia,Gather and analyze forecast data from marketing/sales to determine stock level and number of products ordered....,Jakarta,859 ulasan,,52.2,Supply Chain Manager
5,"Marriott International, Inc",Indonesia,Data de divulgação da vaga. IDN-Indonésia-Jakarta-Sheraton Grand Jakarta Gandaria City Hotel....,Jakarta,5.057 ulasan,,51.6,Engineer I
6,Accenture,Indonesia,"Data engineering experience, including SQL and experience manipulating structured and unstructured data sources for analysis....",Jakarta,11.374 ulasan,,51.0,Data Scientist
7,"Pensons Group, PT",Indonesia,Perform data verification and data quality checks. Minimum Diploma Degree in Business or engineering....,Jakarta,,,,IMPROVEMENT PROGRAM
8,Tetra Pak,Indonesia,Degree qualification in business/administration/industrial engineering or equivalent work experience. Provide input to the preparation of the sales strategy...,Jakarta,,,,Service Account Representative
9,Google,Indonesia,"Experience in data and information management, especially as it relates to Big Data trends and issues within businesses....",Jakarta,,,,"Customer Solutions Lead, Google Cloud"
0,Kawan Lama,Indonesia,"Bachelor Degree majoring Industrial Engineering, Mechanical Engineering, or equivalen. To analyze the inventory data....",Jakarta,,,,Inventory Management Analyst
2,Medtronic,Indonesia,"Market data & information gathering. Tertiary or Bachelor degree in medical related studies, biomedical engineering and nursing....",Jakarta,,,,Business Development Representative
3,Pinnacle Investment,Indonesia,"Deep technical knowledge of big data technologies, REST/SOAP API standards, java, javascript, html5/CSS and Python are a plus....",Jakarta,,,,AI / Machine Learning Software Developer
4,Oceaneering,Indonesia,R etrieve project specific technical data from client library/documentation. ¿ HNC or greater in an Engineering related discipline which should ideally be...,Jakarta,,,,Assistant Inspection Engineer
5,Oceaneering,Indonesia,Retrieve project specific technical data from client library/documentation. ¿ HNC or greater in an Engineering related discipline which should ideally be...,Jakarta,,,,Assistant Corrosion Engineer
6,Stampindo Lancar Jaya PT,Indonesia,"Stamps melayani perusahaan retail terbesar di Indonesia yang berjumlah belasan ribu outlet dengan jutaan customer dan memroses lebih dari 6,000,000 transaksi...",Jakarta,,,,Junior Programmer
7,Dycom Engineering,Indonesia,Gaji yang diharapkan dan kelangkapan data yang lainnya ke :. Responsible to recruiting and selection including....,Jakarta,,,,SENIOR HRD
8,DOKU ID,Indonesia,"Have passion in software engineering, quality, exceptional attention to detail. Able to provide technical support for the physical design and implementation of...",Jakarta,,,,Database Engineer
9,Roche,Indonesia,"Identify new best-practice methods of analyzing, sharing and managing our data from other Roche affiliates. Innovate new ways of adding value to the analysis,...",Jakarta,859 ulasan,,52.2,Strategic Insights & Analytics Analyst
0,Traveloka,Indonesia,Computer Science / Computer Engineering / Engineering / Mathematics / Statistics / Economics) from a reputable university....,Jakarta,4 ulasan,,51.0,Pricing Analyst
1,Pra-group,Indonesia,"Minimum graduated from Diploma (D3) in related field K3LL (Environmental Engineering,. Able to create the reports and statistical data analysis of HSE Reviewing...",Jakarta,,,,HSE Officer
2,Dimension Data,Indonesia,Diversity in Dimension Data. Join our growing global team and accelerate your career with Dimension Data. Dimension Data is an equal opportunity employer with a...,Jakarta,,,,Service Delivery Support Engineer (L2)
3,General Electric,Indonesia,"Bachelor’s degree in engineering. In addition, the Engineer - Fleet Management will:. Utilize data and analytics to influence positive outcomes for customers....",Jakarta,,,,Engineer - Fleet Management - GE Aviation
4,PT Bali Towerindo Sentra Tbk,Indonesia,"Candidate must possess at least a Bachelor Degree, Computer Science or Information Technology, Engineering or equivalent from a reputable university with a...",Jakarta,,,,Data Base Administrator Supervisor (Jakarta)
5,OMDC Dental Clinic,Indonesia,Menguasai kemampuan mencari data kandidat. Memastikan kelancaran proses melengkapi data untuk tindaklanjut setelah lolos interview user....,Jakarta,,,,Recruitment Specialist
6,"Columbia Personnel Services, PT",Indonesia,Setup new Data Center Operation Procedure to help operator to manage and monitor servers. Duties & Responsibilities Administer and support the Unix and Linux...,Jakarta,,,,SYSTEM ENGINEER
7,Traveloka,Indonesia,"Passion in software engineering, application development, or systems development. Participation in multiple end-to-end implementation of system integration,...",Jakarta,4 ulasan,,51.0,Integration Engineering Lead
8,PetroSea,Indonesia,Bachelor degree in Mechanical Engineering. 2 years experiences as Engineer in Asset Management. Daily Minor Asset Management activities including process...,Jakarta,,,,Minor Asset Engineer (Head Office)
9,PetroSea,Indonesia,"Graduate degree (S1) in Engineering preferably in Mechanical Engineering, candidate with proven extensive experience (with ldifferent/ower academic...",Jakarta,,,,Asset Engineer (Head Office)
0,Black & Veatch,Indonesia,"Overseeing collection, assimilation, and management of data for engineering work; Intermediate knowledge of engineering design principles and applicable design...",Jakarta,,,,Boiler Engineer (Kalteng Project)
1,Traveloka,Indonesia,"Experience and leading capabilities in CRM, CLM, data analytics and architecture. Bachelor's degree in Engineering, Mathematics, Computer Science, Information...",Jakarta,4 ulasan,,51.0,CRM Lead
2,Traveloka,Indonesia,"Join our ambitious growing team in building large impact consumer products and services, building real-time and big data systems and platforms, coming up with...",Jakarta,4 ulasan,,51.0,Site Infrastructure Lead
3,Oracle,Indonesia,"Engineering or Systems Engineering, BE, computer science or MBA. Good understanding of Databases (Oracle, DB2, Exa Data)....",Jakarta,3.076 ulasan,,44.4,Consulting Techno functional Lead
4,Blue Visions Management,Indonesia,"System Engineer with 2-4 (Senior) and 4-6 (Associate Manager) years of experience in System Data, Server, Hypervisor, Windows OS, Networks, Instrumentation,...",Jakarta,,,,System Engineer
5,HappyFresh,Indonesia,Ability to analyze data using advance excel skills. Analyzing data and hands on execution is something you excel at....,Jakarta,,,,Group Operations Associate
6,FinAccel,Indonesia,"5+ years of engineering experience overall. 3-4 years of experience as an Android engineer; Excellent understanding of algorithms, data structures, performance...",Jakarta,,,,Lead Android Engineer
7,PetroSea,Indonesia,Strong on analytical (multi variance data) skills and Problem Solving skills. Senior Business Improvement Engineer to recruitment.jakarta@petrosea.com in...,Jakarta,,,,"Senior Business Improvement Engineer (Head Office,"
8,Daikin Indonesia,Indonesia,"Pendidikan minimal S1, jurusan teknik. Membuat schedule equipment air conditioner berdasarkan data hasil seleksi....",Jakarta,,,,Engineering & Technical Support
9,Bank Mayapada,Indonesia,"Kami akan menjamin kerahasiaan data pelamar. Pendidikan minimal S1 Jurusan Teknik Informatika / Sistem Informasi IPK min 2,77. Pendidikan min S1 jurusan IT/SI.....",Jakarta,,,,Lowongan IT System Operation
0,Mitra Insan Sejahtera PT,Indonesia,"26th, pendidikan min.S1 Informatika/ Teknik Informatika/ Teknik Elektro,. Memproses pembuatan program baru sesuai permintaan dari user, membuat program dan/atau...",Jakarta,,,,Information Technology Staff
1,ActiveUnited Nations Development Programme (UNDP),Indonesia,"Bachelor degree in Communications, Engineering, Natural Science, Public Administration, Economics, Political Sciences, Social Sciences or other relevant fields...",Jakarta,,,,Technical Associate for Industrial Capacity Strengthening UPOPs/PBDEs
3,Chandra Asri Petrochemical,Indonesia,"Degree Diploma in Mechanical engineering. Provides condition monitoring data collection, preliminary analysis and recommendation based on the results....",Jakarta,,,,Polymer Rotating Inspector
4,Traveloka,Indonesia,"Good understanding of software engineering concepts. Join our ambitious growing team in building large impact consumer products and services, building real-time...",Jakarta,4 ulasan,,51.0,Quality Engineer
5,Traveloka,Indonesia,"Bachelor's degree in Engineering, Mathematics, Computer Science, Information Management or Finance from top local or overseas universities with min GPA 3.5 on a...",Jakarta,4 ulasan,,51.0,PMO & COE Manager
7,Uber,Indonesia,"You’ll be aligned to the Driver Experience leaders from Product Management, Design, Engineering and Data Science to create deep connections with Operations...",Jakarta,,,,Engineering Operations Manager - Indonesia
0,Cargill,Indonesia,"University degree (S1) in Electrical Engineering, from a reputable university. Develop and implement a strategy for the maintenance, troubleshooting,...",Jakarta,,,,"Automation, Electrical & Instrumentation Manager"
1,PetroSea,Indonesia,"Min bachelor degree in Mining Engineering. Evaluate and analyse production performance data related to productivity, utilisation, and availability in order to...",Jakarta,,,,Mine Engineer (Planning)
3,Chandra Asri Petrochemical,Indonesia,D3 Engineering/Non Engineering. Set up digital data management system. Managing the existence of the documents in the library well....,Jakarta,,,,Document Controller
4,Black & Veatch,Indonesia,"Overseeing collection, assimilation, and management of data for engineering work; Intermediate knowledge of engineering design principles and applicable design...",Jakarta,,,,Civil Structural Engineer
6,PT. Control Systems Arena Para Nusa,Indonesia,"Our company is fully staffed to assist customers in all phase of process control and instrumentation from planning stages through engineering, project...",Jakarta,,,,Temporary Admin (3 Bulan)
7,Chub Pamadana International PT,Indonesia,"Understand Data Structure and Algorithms. Understand Machine Learning and Data Science. As a full stack engineer, you are expected to solve challenging and...",Jakarta,,,,Full Stack Engineer
0,"Staffindo Performa, PT",Indonesia,QUALITY SYSTEM ENGINEER. Degree in Engineering / Quality Management related disciplines. Analyse data coming from projects and processes (Customer Satisfaction...,Jakarta,,,,QUALITY SYSTEM ENGINEER
1,Uber,Indonesia,Experience in SQL is a bonusAnalytical rigor - Be able to use data to make informed decisions. Running a series of driver round tables to increase driver...,Jakarta,,,,Operations Associate - Indonesia
2,ABB,Indonesia,"Release request for invoicing and provide required data, documents so that invoices are prepared and get it submitted to customer and follow up for payment....",Jakarta,,,,Project Manager
3,JGC Indonesia,Indonesia,"S1 Mechanical majoring in Energy conversion, Min.8 years in engineering work Oil & Gas, petrochemical, chemical and industrial project as rotating equipment...",Jakarta,,,,Rotary Engineer
4,JGC Indonesia,Indonesia,"S1 Mechanical , Min.8 years in engineering work Oil & Gas, petrochemical, chemical, and industrial project as package equipment engineer, having knowledge and...",Jakarta,,,,Package Engineer
5,Traveloka,Indonesia,"Bachelor’s degree in Economics, Finance, Management, Mathematics, Statistics, or Engineering. Strong quantitative aptitude with the ability to develop arguments...",Jakarta,4 ulasan,,51.0,Corporate Strategy Manager
6,Royal HaskoningDHV: ID,Indonesia,"Interface with the civil design team to develop and value-engineer practical, fit-for-use geotechnical engineering solutions....",Jakarta,,,,Geotechnical Engineer
7,"Amdocs, Inc.",Indonesia,"/B.SC in IT/ Computer Science/ Industrial Engineering/ Systems Analysis. From virtualized telecommunications networks, Big Data and Internet of Things to mobile...",Jakarta,,,,SW Test Engineer
8,Traveloka,Indonesia,Re-book based on payment data and booking center. Identify & escalate bug issue to related engineering team. Interface between customers and hotels to resolve...,Jakarta,4 ulasan,,51.0,Hotel Operations Specialist
9,Erajaya,Indonesia,"Should have extensive hands on experience with in Data Visualization, Big Data and building Data Models, Data Mining, Transforming data and working on large...",Jakarta,,,,Head of Business Analytics & CRM
0,OLX,Indonesia,Ability to perform complex data queries from various data sources and translate it to become actionable insights. Exposure to Big Data practices (IE....,Jakarta,,,,Data Science Specialist
1,Black & Veatch,Indonesia,Processes new hire craft paperwork and enters data into the human resource information system. May be responsible for providing administrative support for...,Jakarta,,,,Field Office Coordinator (TJB Jepara Project)
2,PT Mega Central Finance,Indonesia,Terbiasa dengan ruang data centre. Unit Head Database Admin • Candidate must possess at least Bachelor Degree in Engineering (Computer/Telecommunication) or...,Jakarta,,,,Unit Head Database Admin
3,Royal HaskoningDHV: ID,Indonesia,"Candidate must possess at least Bachelor's Degree, Master's Degree/Post Graduate Degree in Engineering (Chemical), Engineering (Civil), Engineering...",Jakarta,,,,Wastewater Process Technology Expert
4,Teradata,Indonesia,"Additionally the Senior Data Engineer assists Think Big Analytics establish thought leadership in the big data industry by contributing white papers, technical...",Jakarta,,,,Think Big - Senior Data Engineer
5,FinAccel,Indonesia,"Computer Science, Engineering, Economics, or Mathematics). You need to be comfortable with data – Analyse it, question its validity, interpret it, and develop...",Jakarta,,,,Operation Analyst
6,As Shidiq Aqiqah & Catering,Indonesia,Memahami teknik crawling data. Pendidikan Minimal S1 Teknologi Informatika....,Jakarta,,,,Informasi & Teknologi (IT Staff)
7,Traveloka,Indonesia,Computer Science / Computer Engineering / Engineering / Mathematics / Statistics / Economics) from a reputable university....,Jakarta,4 ulasan,,51.0,Pricing Associate Manager
8,DELL,Indonesia,Good working knowledge of data management including enterprise storage platform and data protection technologies....,Jakarta,,,,Systems Engineer
0,Michael Page,Indonesia,"Has done at least statistical analysis of data to find insights so not just trend, business intelligence, sorting of data mart to get insights....",Jakarta,,,,Head of Data Analytics and Research
1,"Quantum Global Solusi, PT",Indonesia,Minimum Diploma in Maritime Studies / Marine Engineering or equivalent. OFFSHORE CREWING SUPERVISOR....,Jakarta,,,,OFFSHORE CREWING SUPERVISOR
2,Microsoft,Indonesia,We are looking for a Premier Field Engineer specialising in on premise and Azure based SQL Data Platforms....,Jakarta,,,,Premier Field Engineer
3,Traveloka,Indonesia,"Passion in big data, software engineering, and systems. Data Engineers at Traveloka are passionate on designing, building, and maintaining our growing big data...",Jakarta,4 ulasan,,51.0,Data Engineer
4,Traveloka,Indonesia,"Join our ambitious growing team in building large impact consumer products and services, building real-time and big data systems and platforms, coming up with...",Jakarta,4 ulasan,,51.0,Story Copywriter
6,Home Credit Indonesia,Indonesia,Data Engineer is one of key-role in Big Data team. Establish Enterprise Data Lake. Integrate to various data sources:....,Jakarta,,,,Data Engineer
7,Traveloka,Indonesia,"Join our ambitious growing team in building large impact consumer products and services, building real-time and big data systems and platforms, coming up with...",Jakarta,4 ulasan,,51.0,Recruitment Support
8,International Flavors and Fragrances,Indonesia,"Ensure an accurate and timely upkeep of IFF data systems i.e. SAP, IFFMan etc. Assist in the implementation of quality engineering tools and systems as...",Jakarta,,,,QC Supervisor
9,Dycom Engineering,Indonesia,"Lengkap, photo, gaji yang diharapkan dan kelangkapan data yang lainnya ke :. Job....",Jakarta,,,,PURCHASING IMPORT
0,DOKU ID,Indonesia,Experience in analyzing data to draw business-relevant conclusions and in data visualization techniques and tools....,Jakarta,,,,Scrum Master
1,Royal HaskoningDHV: ID,Indonesia,"Oversee hydrological data collection. Candidate must possess at least Bachelor's Degree or Master's Degree in Water Resources, Engineering (Civil), Hydraulic...",Jakarta,,,,Hydrologist & Modeller
2,Pinnacle Investment,Indonesia,Exploration of large data sets using various quantitative techniques to discover data patterns. Comfortable working with large data sets....,Jakarta,,,,Quantitative Researcher
3,McKinsey & Company,Indonesia,"Experience of engineering practices such as code refactoring, design patterns, design-driven development, continuous integration, building highly scalable...",Jakarta,,,,Software Architect
4,Metrix Inspira PT,Indonesia,Education D3/S1 in Electrical Engineering/ Instrumentation/Engineering Physics. Provide technical support to customer and Sales Engineer....,Jakarta,,,,Electrical Application Engineer
5,Dycom Engineering,Indonesia,Gaji yang diharapkan dan kelangkapan data yang lainnya ke :. Pendidikan minimum SMK/STM....,Jakarta,,,,Operator Bubut Manual
8,Siemens AG,Indonesia,Liaise with other Engineering Departments to correctly engineer the interfaces. Responsible to drive a variety of engineering tasks....,Jakarta,5.293 ulasan,,51.6,Electrical Engineer 1
0,Summarecon,Indonesia,Min Pendidikan S1 Jurusan Teknik Industri. Melaksanakan aktivitas organization development untuk membantu pencapaian target kerja departemen....,Jakarta,,,,OFFICER- ORGANIZATION DEVELOPMENT
1,Hitachi Vantara,Indonesia,BS in Computer Science or Electrical Engineering. We work with organizations everywhere to drive data to meaningful outcomes....,Jakarta,,,,Senior Solutions Consultant
3,"Columbia Personnel Services, PT",Indonesia,"SYSTEM SOFTWARE ENGINEER. Two years of software engineering experience. Design and implement automation scripts, mobile apps , data analysis tools and database...",Jakarta,,,,SYSTEM SOFTWARE ENGINEER
4,Indonesien AHK,Indonesia,Establish a comprehensive claim data base and statistics. Technical data compilation Technical support with tender submissions Sourcing of 3 rd party product...,Jakarta,,,,Technical and Service Manager
5,Adaro Energy,Indonesia,Conducting soil analysis based on existing data. Bachelor Degree in Engineering with specialization in geotech for soft soil and in industrial structures....,Jakarta,,,,SENIOR GEOTECH ENGINEER
6,"Staffindo Performa, PT",Indonesia,Bachelor Degree in Science or Engineering. Promote the use of data and metrics to drive project initiatives and help process owners to clearly link project...,Jakarta,,,,LEAN SIX SIGMA CONSULTANT
7,JGC Indonesia,Indonesia,"Minimum 8 years experience in detail engineering, experienced in Developing Specification, preparing data sheet, design calculations using related software....",Jakarta,,,,Electrical Engineer
8,Traveloka,Indonesia,"Join our ambitious growing team in building large impact consumer products and services, building real-time and big data systems and platforms, coming up with...",Jakarta,4 ulasan,,51.0,Product Manager
9,IBM,Indonesia,Communications to computer engineering; Demonstrates keen interest in consultancy for Data Science/Business Analyst/ UI/UX....,Jakarta,18.049 ulasan,,51.0,Digital Transformation Consultant - ID Consulting By Degrees Program
0,Adaro Energy,Indonesia,Bachelor Degree in Industrial Engineering. Collecting data and draft a consolidated report on the HSE compliance status of the business units within the Adaro...,Jakarta,,,,QHSE OFFICER
1,OTO Group,Indonesia,"Pendidikan S1 Teknik Informatika / Sistem Informasi / Teknik Komputer dengan IPK min 2.75*. Melakukan pemeriksaan system, data dan perangkat yang digunakan di...",Jakarta,,,,Audit It Officer
2,Reckitt Benckiser Group,Indonesia,"Bachelors Degree in Engineering (Industrial), Business Studies/Administration/Management, Supply Chain, Economics or equivalent....",Jakarta,,,,Supply Planner
3,PT Nusa Satu Inti Artha,Indonesia,"Have passion in software engineering, quality, exceptional attention to detail. Able to provide technical support for the physical design and implementation of...",Jakarta,,,,Database Engineer
4,Globesoft Services Pte Ltd,Indonesia,"Python Server Engineer. Optimize the performance, network and data. Role based at Jakarta, Indonesia....",Jakarta,,,,Python Server Engineer - Gaming
5,Siemens AG,Indonesia,Liaise with other Engineering Departments to correctly engineer the interfaces. Responsible to drive a variety of engineering tasks....,Jakarta,5.293 ulasan,,51.6,Senior Electrical Engineer 1
